 Date, Time, Reading
 2015-09-12, 05:16:39.257,423000
 2015-09-12, 05:17:09.265,440000
 2015-09-12, 05:17:39.328,434000
 2015-09-12, 05:18:09.351,435000
 2015-09-12, 05:19:09.317,428000
 2015-09-12, 05:19:39.254,437000
 2015-09-12, 05:20:39.265,434000
 2015-09-12, 05:21:09.271,433000
 2015-09-12, 05:21:39.257,433000
 2015-09-12, 05:22:09.264,433000
 2015-09-12, 05:22:39.360,431000
 2015-09-12, 05:23:09.267,429000
 2015-09-12, 05:23:39.271,430000
 2015-09-12, 05:24:09.287,430000
 2015-09-12, 05:24:39.262,429000
 2015-09-12, 05:25:09.278,429000
 2015-09-12, 05:25:39.343,428000
 2015-09-12, 05:26:09.261,426000
 2015-09-12, 05:26:39.269,424000
 2015-09-12, 05:27:09.260,427000
 2015-09-12, 05:27:39.266,426000
 2015-09-12, 05:28:09.266,427000
 2015-09-12, 05:28:39.271,425000
 2015-09-12, 05:29:09.266,427000
 2015-09-12, 05:29:39.272,427000
 2015-09-12, 05:30:09.266,423000
 2015-09-12, 05:30:39.272,427000
 2015-09-12, 05:31:09.267,424000
 2015-09-12, 05:31:39.273,545000
 2015-09-12, 05:32:09.270,522000
 2015-09-12, 05:32:39.274,516000
 2015-09-12, 05:33:09.271,513000
 2015-09-12, 05:33:39.275,456000
 2015-09-12, 05:34:39.276,452000
 2015-09-12, 05:35:09.280,455000
 2015-09-12, 05:35:39.279,452000
 2015-09-12, 05:36:09.283,448000
 2015-09-12, 05:36:39.269,451000
 2015-09-12, 05:37:09.274,453000
 2015-09-12, 05:37:39.270,450000
 2015-09-12, 05:38:39.271,449000
 2015-09-12, 05:39:09.275,449000
 2015-09-12, 05:39:39.272,454000
 2015-09-12, 05:40:39.364,451000
 2015-09-12, 05:41:09.279,369000
 2015-09-12, 05:41:39.275,367000
 2015-09-12, 05:42:09.281,355000
 2015-09-12, 05:43:09.282,364000
 2015-09-12, 05:43:39.289,370000
 2015-09-12, 05:44:09.283,368000
 2015-09-12, 05:45:09.284,366000
 2015-09-12, 05:45:39.280,368000
 2015-09-12, 05:46:09.287,367000
 2015-09-12, 05:46:39.281,368000
 2015-09-12, 05:47:39.282,367000
 2015-09-12, 05:48:09.288,367000
 2015-09-12, 05:48:39.297,161000
 2015-09-12, 05:49:09.289,345000
 2015-09-12, 05:50:09.284,345000
 2015-09-12, 05:50:39.287,345000
 2015-09-12, 05:51:09.283,344000
 2015-09-12, 05:52:39.372,344000
 2015-09-12, 05:53:39.285,343000
 2015-09-12, 05:54:09.369,339000
 2015-09-12, 05:54:39.295,343000
 2015-09-12, 05:55:09.290,343000
 2015-09-12, 05:55:39.290,344000
 2015-09-12, 05:56:09.294,465000
 2015-09-12, 05:56:39.291,502000
 2015-09-12, 05:57:09.295,494000
 2015-09-12, 05:57:39.286,493000
 2015-09-12, 05:58:09.300,491000
 2015-09-12, 05:58:39.426,488000
 2015-09-12, 05:59:09.301,486000
 2015-09-12, 05:59:39.377,475000
 2015-09-12, 06:00:09.294,486000
 2015-09-12, 06:01:09.305,488000
 2015-09-12, 06:02:39.302,488000
 2015-09-12, 06:03:09.298,290000
 2015-09-12, 06:03:39.294,288000
 2015-09-12, 06:04:09.303,290000
 2015-09-12, 06:04:39.301,291000
 2015-09-12, 06:05:09.292,202000
 2015-09-12, 06:06:39.304,203000
 2015-09-12, 06:07:09.299,201000
 2015-09-12, 06:07:39.305,201000
 2015-09-12, 06:08:09.302,203000
 2015-09-12, 06:08:39.296,202000
 2015-09-12, 06:09:09.301,203000
 2015-09-12, 06:09:39.297,201000
 2015-09-12, 06:10:09.318,201000
 2015-09-12, 06:10:39.308,179000
 2015-09-12, 06:11:09.302,180000
 2015-09-12, 06:11:39.307,178000
 2015-09-12, 06:12:09.305,178000
 2015-09-12, 06:12:39.301,179000
 2015-09-12, 06:13:09.306,179000
 2015-09-12, 06:13:39.302,124000
 2015-09-12, 06:14:09.309,122000
 2015-09-12, 06:14:39.303,125000
 2015-09-12, 06:15:09.310,123000
 2015-09-12, 06:15:39.308,124000
 2015-09-12, 06:16:09.302,123000
 2015-09-12, 06:16:39.307,122000
 2015-09-12, 06:17:09.303,123000
 2015-09-12, 06:18:09.314,125000
 2015-09-12, 06:19:09.315,123000
 2015-09-12, 06:19:39.313,557000
 2015-09-12, 06:20:39.394,217000
 2015-09-12, 06:21:39.327,210000
 2015-09-12, 06:22:09.323,208000
 2015-09-12, 06:22:39.307,209000
 2015-09-12, 06:23:09.322,209000
 2015-09-12, 06:23:39.318,207000
 2015-09-12, 06:24:09.323,208000
 2015-09-12, 06:24:39.309,208000
 2015-09-12, 06:25:09.325,210000
 2015-09-12, 06:25:39.314,210000
 2015-09-12, 06:26:09.310,209000
 2015-09-12, 06:26:39.323,209000
 2015-09-12, 06:27:09.319,209000
 2015-09-12, 06:27:39.329,210000
 2015-09-12, 06:28:09.322,210000
 2015-09-12, 06:28:39.316,123000
 2015-09-12, 06:29:09.320,123000
 2015-09-12, 06:29:39.311,124000
 2015-09-12, 06:30:09.315,137000
 2015-09-12, 06:30:39.320,138000
 2015-09-12, 06:31:09.316,137000
 2015-09-12, 06:31:39.312,137000
 2015-09-12, 06:32:09.317,138000
 2015-09-12, 06:32:39.323,138000
 2015-09-12, 06:33:09.318,140000
 2015-09-12, 06:33:39.324,125000
 2015-09-12, 06:34:09.331,125000
 2015-09-12, 06:34:39.325,125000
 2015-09-12, 06:35:09.331,125000
 2015-09-12, 06:35:39.315,126000
 2015-09-12, 06:36:09.322,182000
 2015-09-12, 06:36:39.330,186000
 2015-09-12, 06:37:09.323,186000
 2015-09-12, 06:37:39.327,186000
 2015-09-12, 06:38:09.324,184000
 2015-09-12, 06:38:39.318,183000
 2015-09-12, 06:39:09.334,183000
 2015-09-12, 06:39:39.331,182000
 2015-09-12, 06:40:09.330,182000
 2015-09-12, 06:40:39.334,183000
 2015-09-12, 06:41:09.330,182000
 2015-09-12, 06:41:39.334,181000
 2015-09-12, 06:42:09.330,181000
 2015-09-12, 06:42:39.333,181000
 2015-09-12, 06:43:09.330,182000
 2015-09-12, 06:43:39.326,281000
 2015-09-12, 06:44:09.341,271000
 2015-09-12, 06:44:39.367,267000
 2015-09-12, 06:45:09.331,265000
 2015-09-12, 06:45:39.339,264000
 2015-09-12, 06:46:09.334,265000
 2015-09-12, 06:46:39.340,264000
 2015-09-12, 06:47:09.335,264000
 2015-09-12, 06:47:39.341,265000
 2015-09-12, 06:48:09.327,266000
 2015-09-12, 06:48:39.332,265000
 2015-09-12, 06:49:09.338,266000
 2015-09-12, 06:49:39.348,265000
 2015-09-12, 06:50:09.341,266000
 2015-09-12, 06:50:39.345,267000
 2015-09-12, 06:51:09.332,266000
 2015-09-12, 06:51:39.338,266000
 2015-09-12, 06:52:09.335,266000
 2015-09-12, 06:52:39.339,267000
 2015-09-12, 06:53:09.335,267000
 2015-09-12, 06:53:39.342,213000
 2015-09-12, 06:54:09.338,212000
 2015-09-12, 06:54:39.342,212000
 2015-09-12, 06:55:09.349,212000
 2015-09-12, 06:55:39.344,213000
 2015-09-12, 06:56:09.348,211000
 2015-09-12, 06:56:39.344,212000
 2015-09-12, 06:57:09.350,360000
 2015-09-12, 06:57:39.347,445000
 2015-09-12, 06:58:09.344,450000
 2015-09-12, 06:58:39.348,448000
 2015-09-12, 06:59:09.354,470000
 2015-09-12, 06:59:39.350,382000
 2015-09-12, 07:00:09.345,383000
 2015-09-12, 07:00:39.341,383000
